model,lambda,arrived,dropped,served,instant_nsys,instant_nq,total_nsys,total_nq,total_wait,total_sojourn,avg_nsys,avg_nq,avg_wait,avg_sojourn,drop_prob
M/M/3/8,4.0,119,0,117,2,0,16.047848883407983,0.019029339076274354,0.03805867815254871,15.947859865738227,0.5349282961135995,0.0006343113025424785,0.0003252878474576813,0.13630649457895921,0.0
M/M/3/8,4.0,133,0,133,0,0,18.589446617034834,0.07168544536051158,0.14337089072102316,18.58944661703483,0.6196482205678279,0.002389514845350386,0.0010779766219625802,0.13977027531605135,0.0
M/M/3/8,6.0,196,0,196,0,0,26.801888124304178,1.4425390018935156,2.885078003787031,26.801888124304178,0.8933962708101393,0.04808463339645052,0.014719785733607302,0.13674432716481724,0.0
M/M/3/8,6.0,160,0,156,4,1,19.36714427491304,0.1364101166337175,0.15402863387531696,19.06982248722762,0.6455714758304347,0.004547003887790583,0.0009873630376622882,0.12224245184120268,0.0
M/M/3/8,6.0,173,0,172,1,0,17.176783191384022,0.016033168780671403,0.032066337561342806,17.176783191384022,0.5725594397128008,0.0005344389593557134,0.00018643219512408607,0.09986501855455826,0.0
M/M/3/8,6.0,186,0,185,1,0,24.892400292439962,0.5241900708237113,1.0483801416474225,24.892400292439966,0.8297466764146654,0.017473002360790375,0.005666919684580662,0.13455351509427008,0.0
M/M/3/8,6.0,174,0,173,1,0,22.50567080746695,0.12200093970405135,0.2440018794081027,22.486819559360157,0.750189026915565,0.004066697990135045,0.0014104154879081082,0.12998161595005872,0.0
M/M/3/8,6.0,177,0,176,1,0,19.800185414458102,0.4134778934664576,0.8269557869329152,19.729309986501605,0.6600061804819367,0.013782596448881919,0.0046986124257552,0.11209835219603184,0.0
M/M/3/8,6.0,165,0,164,1,0,20.914105961354643,0.3167073326198082,0.6334146652396164,20.914105961354647,0.6971368653784881,0.010556911087326941,0.0038622845441440025,0.12752503634972345,0.0
M/M/3/8,6.0,193,0,192,1,0,24.338291951519814,0.4382499235764734,0.8764998471529468,24.259026419484506,0.8112763983839938,0.014608330785882447,0.004565103370588265,0.12634909593481514,0.0
M/M/3/8,6.0,186,0,186,0,0,23.53365430360791,0.8700105815064665,1.740021163012933,23.53365430360791,0.784455143453597,0.029000352716882217,0.009354952489316844,0.12652502313767694,0.0
M/M/3/8,6.0,190,0,189,1,0,25.085083526883622,0.8131632688896793,1.6263265377793585,24.867379267134698,0.8361694508961207,0.027105442296322644,0.008604902316292903,0.13157343527584497,0.0
M/M/3/8,6.0,138,0,138,0,0,16.7525165464873,0.22311999310763397,0.44623998621526795,16.7525165464873,0.5584172182162433,0.007437333103587799,0.0032336230885164343,0.12139504743831377,0.0
M/M/3/8,6.0,167,0,166,1,0,21.406288257492843,0.32902570887752347,0.6580514177550469,21.32959765924898,0.7135429419164281,0.010967523629250782,0.003964165167199078,0.12849155216415048,0.0
M/M/3/8,6.0,162,0,160,2,0,18.692010953826358,0.4424077607397132,0.8848155214794264,18.61349334062625,0.623067031794212,0.01474692535799044,0.005530097009246416,0.11633433337891405,0.0
M/M/3/8,6.0,178,0,178,0,0,21.985459448137277,0.09959474430327475,0.1991894886065495,21.985459448137277,0.7328486482712425,0.0033198248101091584,0.0011190420708233118,0.12351381712436672,0.0
M/M/3/8,6.0,171,0,169,2,0,19.56702081793959,0.07885062773730311,0.15770125547460623,19.403983318452823,0.652234027264653,0.0026283542579101037,0.00093314352351838,0.11481646933995754,0.0
M/M/3/8,6.0,166,0,165,1,0,20.762509822819723,0.4875218464510598,0.9750436929021196,20.453523854064656,0.6920836607606574,0.016250728215035325,0.0059093557145583,0.12396075063069488,0.0
M/M/3/8,6.0,199,0,199,0,0,26.635460874960216,1.1499941889256808,2.2999883778513617,26.635460874960216,0.8878486958320072,0.03833313963085603,0.011557730541966642,0.13384653706010158,0.0
